id,data_inversa,dia_semana,horário,uf,br,km,município,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
116062,05/03/18,segunda-feira,13:20:00,PB,230,35,SANTA RITA,Falta de Atenção à Condução,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Interseção de vias,Sim,2,0,0,1,0,1,1,2,"-7,1268","-34,9412",SR-PB,DEL14/1,UOP00/PB
116067,05/03/18,segunda-feira,18:10:00,PB,101,"36,7",MAMANGUAPE,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Dupla,Reta,Não,1,0,1,0,0,0,1,1,"-6,8143","-35,1389",SR-PB,DEL14/1,UOP03/PB
116070,05/03/18,segunda-feira,18:05:00,PB,230,5,CABEDELO,Ingestão de Álcool,Saída de leito carroçável,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Não,1,0,0,0,0,1,0,1,"-7,01911995","-34,8348999",SR-PB,DEL14/1,UOP00/PB
116075,05/03/18,segunda-feira,16:45:00,PB,230,302,SANTA LUZIA,Avarias e/ou desgaste excessivo no pneu,Saída de leito carroçável,Sem Vítimas,Pleno dia,Decrescente,Chuva,Simples,Não Informado,Não,1,0,0,0,1,0,0,1,"-6,90607856","-36,99554533",SR-PB,DEL14/3,UOP01/PB
119890,05/03/18,segunda-feira,04:40:00,PB,230,169,CAMPINA GRANDE,Defeito Mecânico no Veículo,Colisão traseira,Com Vítimas Fatais,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,3,1,0,0,2,0,0,3,"-7,18946337","-35,96717834",SR-PB,DEL14/2,UOP02/PB
116143,06/03/18,terça-feira,05:15:00,PB,230,"508,4",CAJAZEIRAS,Animais na Pista,Atropelamento de Animal,Com Vítimas Feridas,Amanhecer,Crescente,Céu Claro,Simples,Reta,Não,1,0,1,0,0,0,1,1,"-6,8988","-38,5722",SR-PB,DEL14/3,UOP03/PB
116189,06/03/18,terça-feira,09:10:00,PB,101,117,CAAPORA,Pista Escorregadia,Colisão com objeto estático,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Não,2,0,1,0,1,0,1,1,"-7,4303","-34,9673",SR-PB,DEL14/1,UOP01/PB
116298,06/03/18,terça-feira,18:00:00,PB,230,"332,2",PATOS,Ingestão de Álcool,Colisão traseira,Com Vítimas Fatais,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,2,1,1,0,0,0,1,2,"-7,020018","-37,242122",SR-PB,DEL14/3,UOP01/PB
116320,06/03/18,terça-feira,15:45:00,PB,101,"78,1",SANTA RITA,Defeito na Via,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,2,0,0,0,2,1,"-7,1135","-34,961",SR-PB,DEL14/1,UOP00/PB
116407,07/03/18,quarta-feira,08:14:00,PB,101,"86,3",JOÃO PESSOA,Falta de Atenção à Condução,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Não Informado,Sim,2,0,0,0,2,0,0,2,"-7,15421","-34,908025",SR-PB,DEL14/1,UOP00/PB
116436,07/03/18,quarta-feira,09:30:00,PB,230,165,CAMPINA GRANDE,Desobediência às normas de trânsito pelo condutor,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Interseção de vias,Não,2,0,1,0,1,0,1,2,"-7,20172565","-35,95069885",SR-PB,DEL14/2,UOP02/PB
116558,07/03/18,quarta-feira,20:10:00,PB,230,37,SANTA RITA,Falta de Atenção do Pedestre,Atropelamento de Pedestre,Com Vítimas Fatais,Plena Noite,Decrescente,Nublado,Dupla,Reta,Sim,4,1,0,0,3,0,0,1,"-7,131314","-34,956305",SR-PB,DEL14/1,UOP00/PB
116610,08/03/18,quinta-feira,05:00:00,PB,412,"23,6",BOA VISTA,Animais na Pista,Saída de leito carroçável,Com Vítimas Feridas,Amanhecer,Decrescente,Céu Claro,Simples,Reta,Não,1,0,1,0,0,0,1,1,"-7,281259","-36,2668",SR-PB,DEL14/2,UOP02/PB
116611,08/03/18,quinta-feira,06:05:00,PB,230,"28,8",JOÃO PESSOA,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,0,1,0,1,1,2,"-7,1663","-34,9",SR-PB,DEL14/1,UOP00/PB
116677,08/03/18,quinta-feira,10:00:00,PB,230,160,CAMPINA GRANDE,Desobediência às normas de trânsito pelo condutor,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,2,0,1,0,1,0,1,2,"-7,24532217","-35,93833923",SR-PB,DEL14/2,UOP01/PB
116757,08/03/18,quinta-feira,16:25:00,PB,101,"0,5",MATARACA,Defeito Mecânico no Veículo,Incêndio,Sem Vítimas,Pleno dia,Crescente,Sol,Dupla,Reta,Não,2,0,0,0,2,0,0,1,"-6,518","-35,1118",SR-PB,DEL14/1,UOP03/PB
