id,data_inversa,dia_semana,horário,uf,br,km,município,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veículos,latitude,longitude,regional,delegacia,uop
206278,29/04/19,segunda-feira,14:05:00,PB,230,"26,9",JOÃO PESSOA,Não guardar distância de segurança,Engavetamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,3,0,1,0,2,0,1,3,"-7,1693","-34,8782",SR-PB,DEL14/1,UOP01/PB
206305,29/04/19,segunda-feira,15:40:00,PB,230,"115,3",INGÁ,Avarias e/ou desgaste excessivo no pneu,Colisão com objeto estático,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,2,0,2,0,0,0,2,1,"-7,2296","-35,5998",SR-PB,DEL14/1,UOP02/PB
206339,29/04/19,segunda-feira,18:15:00,PB,230,"293,2",SANTA LUZIA,Ingestão de álcool,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Sim,3,0,0,1,1,1,1,1,"-6,8748","-36,9296",SR-PB,DEL14/3,UOP01/PB
206347,29/04/19,segunda-feira,17:20:00,PB,104,"118,3",LAGOA SECA,Desobediência às normas de trânsito pelo condutor,Atropelamento de Pedestre,Com Vítimas Feridas,Anoitecer,Crescente,Céu Claro,Simples,Reta,Não,2,0,0,1,0,1,1,1,"-7,196378","-35,87571",SR-PB,DEL14/2,UOP04/PB
206356,29/04/19,segunda-feira,22:45:00,PB,230,"88,4",GURINHÉM,Defeito Mecânico no Veículo,Incêndio,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim,1,0,0,0,1,0,0,1,"-7,1689","-35,3743",SR-PB,DEL14/1,UOP02/PB
206389,30/04/19,terça-feira,07:05:00,PB,104,"116,2",LAGOA SECA,Desobediência às normas de trânsito pelo condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,3,0,1,0,1,1,1,3,"-7,180221","-35,86481",SR-PB,DEL14/2,UOP04/PB
206414,30/04/19,terça-feira,09:50:00,PB,230,"110,6",INGÁ,Mal Súbito,Colisão com objeto estático,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,4,0,1,0,3,0,1,3,"-7,210301","-35,57782",SR-PB,DEL14/1,UOP02/PB
206463,30/04/19,terça-feira,14:10:00,PB,230,"154,6",CAMPINA GRANDE,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Sim,2,0,0,1,1,0,1,2,"-7,2777","-35,8985",SR-PB,DEL14/2,UOP01/PB
206464,30/04/19,terça-feira,14:25:00,PB,230,"113,2",INGÁ,Condutor Dormindo,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,1,0,1,0,0,0,1,1,"-7,231699","-35,6012",SR-PB,DEL14/1,UOP02/PB
206483,30/04/19,terça-feira,17:45:00,PB,230,"72,1",SOBRADO,Desobediência às normas de trânsito pelo condutor,Colisão transversal,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Dupla,Reta,Não,5,0,2,0,3,0,2,2,"-7,1907","-35,2418",SR-PB,DEL14/1,UOP02/PB
206525,30/04/19,terça-feira,20:20:00,PB,230,"512,2",CAJAZEIRAS,Velocidade Incompatível,Saída de leito carroçável,Sem Vítimas,Plena Noite,Decrescente,Chuva,Simples,Curva,Não,1,0,0,0,1,0,0,1,"-6,8893","-38,5959",SR-PB,DEL14/3,UOP03/PB
206540,30/04/19,terça-feira,22:20:00,PB,230,157,CAMPINA GRANDE,Falta de Atenção à Condução,Colisão transversal,Sem Vítimas,Plena Noite,Crescente,Vento,Simples,Reta,Não,2,0,0,0,2,0,0,2,"-7,264","-35,9199",SR-PB,DEL14/2,UOP01/PB
